,Date,Open,High,Low,close,MA_5,MA_20,MA_60,MA_120
504,2021-01-27,15711.76,15837.47,15642.12,15701.45,15895.928,15495.506,14413.356000000002,13572.485166666667
505,2021-01-28,15519.85,15557.02,15367.45,15415.88,15748.35,15531.914999999999,14455.822333333335,13594.043583333334
506,2021-01-29,15544.36,15603.41,15138.31,15138.31,15572.206,15552.204000000002,14492.814166666667,13612.746166666668
507,2021-02-01,15176.56,15429.98,15089.96,15410.09,15464.916000000001,15577.607,14533.423499999999,13634.662000000002
508,2021-02-02,15546.69,15838.15,15546.69,15760.05,15485.155999999999,15615.608000000002,14577.299833333333,13660.4095
509,2021-02-03,15828.64,15896.4,15741.16,15771.32,15499.13,15655.017500000002,14622.1265,13685.47775
510,2021-02-04,15697.75,15801.37,15606.74,15706.22,15557.197999999999,15679.6285,14662.860333333334,13709.734083333333
511,2021-02-05,15805.76,15938.09,15774.34,15802.4,15690.016,15696.551000000001,14705.870666666666,13733.453166666668
512,2021-02-17,16197.45,16406.78,16197.45,16362.29,15880.456,15736.800500000001,14757.353333333333,13762.53775
513,2021-02-18,16366.23,16517.73,16323.22,16424.51,16013.347999999998,15782.991,14805.231333333333,13792.92
514,2021-02-19,16376.91,16382.7,16211.25,16341.38,16127.36,15811.561000000002,14851.0375,13826.076166666666
515,2021-02-22,16445.87,16579.17,16410.16,16410.16,16268.147999999997,15846.7095,14894.985333333334,13857.762166666666
516,2021-02-23,16320.88,16467.75,16211.75,16443.4,16396.348,15888.060000000001,14940.334833333334,13889.39775
517,2021-02-24,16329.54,16456.94,16212.53,16212.53,16366.395999999999,15918.086500000001,14981.936333333333,13918.183416666667
518,2021-02-25,16376.8,16474.05,16322.27,16452.18,16371.929999999998,15946.827000000001,15024.839166666667,13948.340833333334
519,2021-02-26,16190.04,16190.04,15953.8,15953.8,16294.414,15954.208000000002,15060.616999999998,13974.644916666668
520,2021-03-02,16127.87,16262.91,15946.88,15946.88,16201.757999999998,15943.863500000001,15097.417833333333,14001.461833333333
521,2021-03-03,15992.32,16211.73,15884.55,16211.73,16155.423999999999,15953.498499999998,15136.852333333334,14031.630833333333
522,2021-03-04,16091.75,16091.75,15840.99,15906.41,16094.2,15951.491999999998,15170.840999999999,14058.323583333335
523,2021-03-05,15759.58,15934.43,15636.43,15855.23,15974.810000000001,15961.311000000002,15206.38,14084.621333333334
524,2021-03-08,15943.37,16074.97,15816.5,15820.11,15948.072,15967.244,15238.620666666668,14110.139166666666
525,2021-03-09,15715.07,15864.26,15657.92,15853.09,15929.313999999998,15989.104500000001,15269.686500000002,14136.932
526,2021-03-10,15921.45,15986.07,15857.32,15911.67,15869.302000000001,16027.772500000001,15301.929499999998,14164.517583333332
527,2021-03-11,15947.21,16216.22,15947.21,16179.56,15923.932,16066.246,15336.048166666667,14193.817583333333
528,2021-03-12,16241.55,16298.03,16166.35,16255.18,16003.922,16091.002499999999,15369.357833333335,14224.205916666666
529,2021-03-15,16256.58,16281.91,16194.91,16249.33,16089.766,16114.903,15400.84,14253.852416666667
530,2021-03-16,16253.93,16340.66,16244.99,16313.16,16181.779999999999,16145.25,15432.890333333335,14284.1625
531,2021-03-17,16312.98,16349.21,16166.35,16215.82,16242.61,16165.920999999998,15465.6625,14312.729166666666
532,2021-03-18,16264.61,16410.02,16264.61,16287.84,16264.266,16162.198500000002,15499.431666666665,14341.414083333335
533,2021-03-19,16186.46,16186.46,16022.17,16070.24,16227.278,16144.485,15530.418166666666,14367.193083333335
534,2021-03-22,16065.5,16235.63,15983.77,16189.22,16215.256,16136.876999999999,15565.763166666668,14394.830416666668
535,2021-03-23,16250.2,16351.38,16166.29,16177.59,16188.141999999998,16125.248500000002,15596.982,14422.346833333333
536,2021-03-24,15994.96,16125.54,15967.95,16032.12,16151.402000000002,16104.6845,15626.535166666667,14449.321833333333
537,2021-03-25,16010.54,16146.58,15944.96,16060.14,16105.862,16097.064999999999,15656.704833333333,14477.777083333332
538,2021-03-26,16140.37,16325.62,16140.37,16305.88,16152.99,16089.75,15688.720166666668,14508.79375
539,2021-03-29,16411.67,16520.89,16411.67,16475.97,16210.34,16115.858499999998,15727.028666666667,14543.890333333335
540,2021-03-30,16490.31,16556.19,16438.4,16554.9,16285.802000000001,16146.2595,15765.892166666667,14579.906916666665
541,2021-03-31,16529.23,16550.2,16427.2,16431.13,16365.604000000001,16157.229500000001,15801.739666666666,14612.976666666666
542,2021-04-01,16538.28,16602.47,16496.16,16571.28,16467.832000000002,16190.473000000002,15839.070666666668,14647.172916666666
543,2021-04-06,16711.79,16804.45,16711.79,16739.87,16554.629999999997,16234.704999999998,15876.684000000001,14682.375083333334
544,2021-04-07,16771.35,16816.34,16715.32,16815.36,16622.507999999998,16284.467499999999,15915.739166666668,14717.934083333334
545,2021-04-08,16786.56,16926.72,16735.78,16926.44,16696.816,16338.134999999998,15953.0515,14753.119166666667
546,2021-04-09,16974.28,17016.13,16815.59,16854.1,16781.409999999996,16385.2565,15988.410999999998,14787.35025
547,2021-04-12,16908.55,16979.35,16793.54,16859.7,16839.094,16419.2635,16021.038833333334,14820.4545
548,2021-04-13,16872.4,17041.37,16802.22,16824.91,16856.102000000003,16447.75,16051.4535,14852.696166666667
549,2021-04-14,16869.78,16935.39,16559.57,16865.97,16866.224,16478.582000000002,16082.834166666667,14885.353166666666
550,2021-04-15,16851.06,17076.73,16851.06,17076.73,16896.282,16516.7605,16113.879666666668,14919.998333333331
551,2021-04-16,17028.35,17158.81,16998.91,17158.81,16957.224,16563.91,16142.127333333332,14956.089916666668
552,2021-04-19,17141.25,17294.15,17135.52,17263.28,17037.94,16612.681999999997,16170.560333333333,14993.6975
553,2021-04-20,17231.58,17323.87,17175.02,17323.87,17137.732,16675.3635,16200.946499999998,15030.493583333333
554,2021-04-21,17282.76,17282.76,17167.39,17202.11,17204.96,16726.008,16224.815333333332,15066.658083333334
555,2021-04-22,17302.73,17428.15,17066.17,17096.97,17209.007999999998,16771.977,16247.978333333334,15101.822416666666
556,2021-04-23,17117.49,17300.27,17055.48,17300.27,17237.3,16835.3845,16276.043,15138.349416666666
557,2021-04-26,17378.36,17572.29,17378.36,17572.29,17299.102000000003,16910.992,16308.7145,15177.295
558,2021-04-27,17586.02,17630.19,17489.71,17595.9,17353.508,16975.493,16337.356666666667,15216.352249999998
559,2021-04-28,17610.72,17628.81,17497.74,17567.53,17426.592,17030.071,16366.7125,15255.45658333333
560,2021-04-29,17646.93,17709.23,17548.3,17566.66,17520.530000000002,17080.659,16390.260666666665,15295.230833333335
561,2021-05-03,17505.52,17546.94,17222.35,17222.35,17504.946,17120.219999999998,16410.316000000003,15333.226166666665
562,2021-05-04,17249.56,17328.55,16647.61,16933.78,17377.244,17138.345,16426.77,15369.788166666665
563,2021-05-05,16968.75,17052.2,16843.44,16843.44,17226.752,17143.523500000003,16446.513166666668,15405.222583333332
564,2021-05-06,16925.52,17088.73,16764.71,16994.36,17112.118,17152.4735,16468.061666666665,15440.708833333334
565,2021-05-07,17032.23,17285.0,17032.23,17285.0,17055.786,17170.4015,16499.213666666667,15477.518
566,2021-05-10,17274.23,17304.47,17188.15,17235.61,17058.438000000002,17189.477,16534.16866666667,15513.491416666668
